Recording ID,Database,Subspecies_Friis,Latitude,Longitude,Date,Month,Year,Time
163799121,ML,hyemalis,42.3379,-76.3511,6/11/19,6,2019,551
163801561,ML,hyemalis,42.3234,-76.3358,6/11/19,6,2019,0
163915391,ML,oreganus,51.06,-118.26,6/12/19,6,2019,650
164020341,ML,caniceps,39.3341,-117.1611,6/11/19,6,2019,0
164060691,ML,hyemalis,42.2766,-76.6436,6/13/19,6,2019,0
164069731,ML,hyemalis,42.276571,-76.643584,6/13/19,6,2019,554
164071691,ML,hyemalis,42.276571,-76.643584,6/13/19,6,2019,554
164086651,ML,hyemalis,44.8209,-71.2818,6/12/19,6,2019,0
164143671,ML,hyemalis,41.5610286,-81.423121,6/14/19,6,2019,0
164143821,ML,hyemalis,41.5610286,-81.423121,6/14/19,6,2019,1119
164148601,ML,oreganus,39.857,-121.1249,6/5/19,6,2019,1018
164184521,ML,hyemalis,42.2919,-76.6576,6/13/19,6,2019,547
164199781,ML,hyemalis,42.2774,-76.6637,6/13/19,6,2019,0
164199921,ML,hyemalis,42.2774083,-76.66366,6/13/19,6,2019,553
164274851,ML,hyemalis,42.3338,-76.3401,6/15/19,6,2019,549
164280451,ML,hyemalis,42.3338,-76.3401,6/15/19,6,2019,549
164280661,ML,hyemalis,42.3338,-76.3401,6/15/19,6,2019,549
164281551,ML,hyemalis,42.3338,-76.3401,6/15/19,6,2019,549
164296611,ML,hyemalis,42.3179,-76.4783,6/15/19,6,2019,547
164322731,ML,hyemalis,64.9545,-148.366,6/14/19,6,2019,311
164410431,ML,hyemalis,42.2632,-76.6272,6/13/19,6,2019,0
164482541,ML,hyemalis,64.9545,-148.366,6/16/19,6,2019,315
164483061,ML,hyemalis,64.9545,-148.366,6/16/19,6,2019,315
164533271,ML,hyemalis,53.1958,-114.635,6/13/19,6,2019,1905
164633541,ML,hyemalis,42.3179,-76.4783,6/15/19,6,2019,555
164703021,ML,hyemalis,42.2919,-76.6576,6/13/19,6,2019,547
164924501,ML,hyemalis,42.3020687,-76.481702,6/15/19,6,2019,548
164959621,ML,hyemalis,42.3021,-76.4817,6/15/19,6,2019,0
165067221,ML,hyemalis,43.616,-72.8462,6/15/19,6,2019,559
165278021,ML,oreganus,34.2199,-116.969,6/15/19,6,2019,1050
165519451,ML,oreganus,48.797455,-113.67388,6/22/19,6,2019,1519
165528451,ML,hyemalis,61.1035,-155.574,6/19/19,6,2019,440
165599501,ML,hyemalis,42.3338,-76.3401,6/11/19,6,2019,536
165630581,ML,oreganus,38.8003,-120.375,6/24/19,6,2019,502
165787981,ML,oreganus,50.9661,-118.103,6/25/19,6,2019,815
165862251,ML,caniceps,38.9778,-105.263,6/26/19,6,2019,745
166323801,ML,dorsalis,34.2483,-109.741,6/29/19,6,2019,1745
166381781,ML,hyemalis,42.3234,-76.3358,6/11/19,6,2019,540
166407351,ML,oreganus,48.5202,-123.418,6/30/19,6,2019,958
166452291,ML,hyemalis,44.3684,-73.9017,6/28/19,6,2019,445
166536941,ML,hyemalis,48.5819,-71.1852,7/1/19,7,2019,655
166537011,ML,hyemalis,48.5819,-71.1852,7/1/19,7,2019,655
166699921,ML,oreganus,46.2167,-117.767,6/21/19,6,2019,830
166781141,ML,hyemalis,47.8983,-69.9899,6/30/19,6,2019,914
166888401,ML,hyemalis,41.601996,-81.332567,6/18/19,6,2019,2030
166896241,ML,oreganus,50.946,-118.235,7/3/19,7,2019,630
166943751,ML,caniceps,38.9113388,-105.28542,6/14/19,6,2019,1455
166971971,ML,oreganus,48.5202,-123.418,7/3/19,7,2019,1536
166974661,ML,oreganus,38.3591,-123.009,6/15/19,6,2019,730
166994201,ML,hyemalis,44.3644,-68.0712,7/4/19,7,2019,536
167375911,ML,hyemalis,44.3354,-68.0611,7/6/19,7,2019,625
167413071,ML,hyemalis,44.0701,-72.9234,7/7/19,7,2019,530
167580031,ML,hyemalis,36.1029,-82.1332,6/5/19,6,2019,920
167581031,ML,hyemalis,36.1682,-82.0985,6/5/19,6,2019,1705
167613831,ML,oreganus,58.4132,-134.607,7/9/19,7,2019,933
167733861,ML,hyemalis,35.5632,-83.4984,7/8/19,7,2019,843
167743481,ML,hyemalis,39.6061,-79.0982,7/10/19,7,2019,0
167819661,ML,oreganus,47.5103,-122.048,6/21/19,6,2019,1025
168319751,ML,hyemalis,42.3338,-76.3401,7/12/19,7,2019,0
168341471,ML,hyemalis,36.1029,-82.1332,6/6/19,6,2019,815
168341901,ML,hyemalis,36.1029,-82.1332,6/6/19,6,2019,815
168342111,ML,hyemalis,36.1029,-82.1332,6/6/19,6,2019,815
168363921,ML,hyemalis,36.1007,-82.1084,6/6/19,6,2019,1345
168480381,ML,hyemalis,39.033,-79.3306,6/11/19,6,2019,1055
168651591,ML,caniceps,38.9707,-107.0646,7/9/19,7,2019,0
168651601,ML,caniceps,38.9707,-107.0646,7/9/19,7,2019,0
168665381,ML,oreganus,47.3422,-122.824,3/5/16,3,2016,804
168683711,ML,hyemalis,48.2121,-86.1101,7/1/19,7,2019,546
168701701,ML,hyemalis,36.1177,-82.3331,7/17/19,7,2019,815
168701721,ML,hyemalis,36.1177,-82.3331,7/17/19,7,2019,815
168722341,ML,hyemalis,36.1336,-82.3067,7/17/19,7,2019,945
168821991,ML,hyemalis,42.3338,-76.3401,7/19/19,7,2019,708
168993981,ML,hyemalis,36.1003,-82.1344,7/18/19,7,2019,1005
169050821,ML,hyemalis,61.1664,-149.692,7/14/19,7,2019,1702
169087721,ML,hyemalis,43.0793,-76.6744,6/14/19,6,2019,731
169099541,ML,hyemalis,42.2774,-76.6637,6/13/19,6,2019,0
169099651,ML,hyemalis,42.2774,-76.6637,6/13/19,6,2019,0
169099691,ML,hyemalis,42.2774,-76.6637,6/13/19,6,2019,0
169242351,ML,hyemalis,39.0337,-79.3135,6/13/19,6,2019,1100
169244441,ML,hyemalis,39.033,-79.3306,6/15/19,6,2019,530
169579331,ML,oreganus,48.3219,-114.324,6/4/12,6,2012,1158
170025561,ML,hyemalis,45.218,-81.4804,7/24/19,7,2019,1010
170275341,ML,caniceps,38.9876,-105.101,7/28/19,7,2019,606
170505961,ML,caniceps,39.9579,-105.339,3/28/07,3,2007,1000
171008801,ML,oreganus,34.638902,-119.32701,5/20/17,5,2017,526
171112771,ML,hyemalis,46.6326,-88.6035,6/13/19,6,2019,1024
171291561,ML,oreganus,48.4879,-114.351,7/12/12,7,2012,850
172470631,ML,hyemalis,42.4370524,-76.30545,7/14/19,7,2019,800
173901301,ML,oreganus,37.3136561,-122.18822,7/3/19,7,2019,1801
174139391,ML,dorsalis,34.4292,-111.333,8/24/19,8,2019,650
180689901,ML,hyemalis,42.656,-76.3152,7/9/19,7,2019,0
184801281,ML,oreganus,47.638,-123.434,6/13/19,6,2019,830
184806861,ML,oreganus,47.6757798,-123.38707,6/14/19,6,2019,530
